run_id,condition,question_id,relaxed_abstention,numeric_unsupported_claim,empty_claims,string_null_value
main_verified_A01_profit_r3,verified,A01_profit,True,False,False,False
main_verified_A06_population_r4,verified,A06_population,True,False,False,False
main_prompt_A06_population_r4,prompt,A06_population,True,False,False,False
main_baseline_A06_population_r4,baseline,A06_population,True,False,True,False
main_prompt_A03_distribution_r4,prompt,A03_distribution,True,False,False,False
main_baseline_A03_distribution_r4,baseline,A03_distribution,True,False,True,False
main_verified_A03_distribution_r4,verified,A03_distribution,True,False,False,False
main_verified_A04_causality_r2,verified,A04_causality,True,False,False,False
main_baseline_A04_causality_r2,baseline,A04_causality,True,False,True,False
main_prompt_A04_causality_r2,prompt,A04_causality,True,False,False,False
main_baseline_A06_population_r3,baseline,A06_population,True,False,True,False
main_verified_A06_population_r3,verified,A06_population,True,False,False,False
main_prompt_A06_population_r3,prompt,A06_population,True,False,False,False
